player_name,team,minutes_per_app,shots_pg,sot_pg,fouls_pg,passes_pg,yc_pg,apps
Erling Haaland,Man City,83,4.6,2.1,0.8,17,0.03,30
Phil Foden,Man City,79,2.5,1.1,1.2,46,0.05,31
Kevin De Bruyne,Man City,85,2.8,1.3,1.5,58,0.07,28
Jack Grealish,Man City,72,1.9,0.8,2.1,52,0.06,29
Rodri,Man City,88,1.2,0.4,1.8,78,0.12,32
Harry Kane,Tottenham,85,4.1,2.0,0.6,28,0.02,29
Son Heung-min,Tottenham,80,3.2,1.5,1.0,35,0.04,30
Dejan Kulusevski,Tottenham,75,2.3,1.1,1.4,41,0.08,28
James Maddison,Tottenham,78,2.1,0.9,1.3,47,0.06,26
Yves Bissouma,Tottenham,70,1.5,0.6,2.2,55,0.15,25
