match_id,home_team,away_team,league,kickoff_time,stored_at
1,Arsenal,Leeds United,Premier League,2025-08-23T16:30:00+00:00,2025-08-23T11:34:03.867241
2,Crystal Palace,Nottingham Forest,Premier League,2025-08-24T13:00:00+00:00,2025-08-23T11:34:03.867256
3,Everton,Brighton & Hove Albion,Premier League,2025-08-24T13:00:00+00:00,2025-08-23T11:34:03.867263
4,Fulham,Manchester United,Premier League,2025-08-24T15:30:00+00:00,2025-08-23T11:34:03.867267
5,Atlético Madrid,Elche,La Liga,2025-08-23T17:30:00+00:00,2025-08-23T11:34:03.867272
6,Levante,Barcelona,La Liga,2025-08-23T19:30:00+00:00,2025-08-23T11:34:03.867278
7,Osasuna,Valencia,La Liga,2025-08-24T15:00:00+00:00,2025-08-23T11:34:03.867282
8,Genoa,Lecce,Serie A,2025-08-23T16:30:00+00:00,2025-08-23T11:34:03.867287
9,Sassuolo,Napoli,Serie A,2025-08-23T16:30:00+00:00,2025-08-23T11:34:03.867291
10,AC Milan,Cremonese,Serie A,2025-08-23T18:45:00+00:00,2025-08-23T11:34:03.867295
11,AS Roma,Bologna,Serie A,2025-08-23T18:45:00+00:00,2025-08-23T11:34:03.867300
12,St. Pauli,Borussia Dortmund,Bundesliga,2025-08-23T16:30:00+00:00,2025-08-23T11:34:03.867304
13,Mainz,FC Cologne,Bundesliga,2025-08-24T13:30:00+00:00,2025-08-23T11:34:03.867308
14,Borussia Mönchengladbach,Hamburg SV,Bundesliga,2025-08-24T15:30:00+00:00,2025-08-23T11:34:03.867313
15,Nice,AJ Auxerre,Ligue 1,2025-08-23T17:00:00+00:00,2025-08-23T11:34:03.867318
16,Lyon,Metz,Ligue 1,2025-08-23T19:05:00+00:00,2025-08-23T11:34:03.867322
17,Lorient,Stade Rennais,Ligue 1,2025-08-24T13:00:00+00:00,2025-08-23T11:34:03.867327
18,Le Havre AC,Lens,Ligue 1,2025-08-24T15:15:00+00:00,2025-08-23T11:34:03.867331
19,Strasbourg,Nantes,Ligue 1,2025-08-24T15:15:00+00:00,2025-08-23T11:34:03.867335
20,Toulouse,Brest,Ligue 1,2025-08-24T15:15:00+00:00,2025-08-23T11:34:03.867339
